npsn,name,status,grade,district_id,district,regency_id,regency,province_id,province,latitude,longitude
P2964831,PKBM ANGGREK MERATUS,SWASTA,PKBM,150109,Kec. Sungai Pinang,150100,Kab. Banjar,150000,Prov. Kalimantan Selatan,-3.3347,115.2533
P2960928,PKBM SUMBER KAWERUH,SWASTA,PKBM,21607,Kec. Majalengka,21600,Kab. Majalengka,20000,Prov. Jawa Barat,-6.834007,108.230383
P2964773,PKBM AL-QODIRI,SWASTA,PKBM,52813,Kec. Rubaru,52800,Kab. Sumenep,50000,Prov. Jawa Timur,-6.9828,113.8046
P9984629,PKBM MEUGAH UTAMA,SWASTA,PKBM,26022,Kec. Cibeunying Kaler,26000,Kota Bandung,20000,Prov. Jawa Barat,-6.9031769,107.628974
P9948029,PKBM Aula Duna,SWASTA,PKBM,60413,Kec. Idi Rayeuk,60400,Kab. Aceh Timur,60000,Prov. Aceh,4.932066,97.786303
P9952518,PKBM TELAGA BIRU,SWASTA,PKBM,270602,Kec. Wasile Selatan,270600,Kab. Halmahera Timur,270000,Prov. Maluku Utara,0.8271,127.874
P9948198,PKBM TRI SUKSES,SWASTA,PKBM,120725,Kec. Way Bungur,120700,Kab. Lampung Timur,120000,Prov. Lampung,-4.882973,105.5668779
P2965322,PKBM BINA HIKMAH,SWASTA,PKBM,280216,Kec. Warunggunung,280200,Kab. Lebak,280000,Prov. Banten,-6.3385,106.1826
P9926467,PKBM BINA BHAKTI MUDA,SWASTA,PKBM,21915,Kec. Cipunagara,21900,Kab. Subang,20000,Prov. Jawa Barat,-6.4825,107.8279
P2966850,PKBM Batu Mulia,SWASTA,PKBM,151104,Kec. Kusan Hulu,151100,Kab. Tanah Bumbu,150000,Prov. Kalimantan Selatan,-3.3993199,115.7758887
P2962365,PKBM ABBARUGANGE,SWASTA,PKBM,190903,Kec. Liliriaja,190900,Kab. Soppeng,190000,Prov. Sulawesi Selatan,-4.3758,119.95
P2963326,PKBM KABUJU,SWASTA,PKBM,230606,Kec. Sape,230600,Kab. Bima,230000,Prov. Nusa Tenggara Barat,-8.5731,118.9919
P9934312,PKBM ABDI PAMONG PRAJA,SWASTA,PKBM,320416,Kec. Weriagar,320400,Kab. Teluk Bintuni,320000,Prov. Papua Barat,-1.9937,132.8717
P9957016,PKBM Brakbutan,SWASTA,PKBM,251307,Kec. Subur,251300,Kab. Boven Digoel,250000,Prov. Papua,-6.8679452,140.3314105
P9959921,PKBM 1 SULTAN AGUNG 78,SWASTA,PKBM,51612,Kec. Tulungagung,51600,Kab. Tulungagung,50000,Prov. Jawa Timur,-8.0634,111.9009
P9963050,PKBM Karya Indah,SWASTA,PKBM,300219,Kec. Limboto Barat,300200,Kab. Gorontalo,300000,Prov. Gorontalo,0.6752851,122.931772
P9968064,PKBM TERPADU ABI,SWASTA,PKBM,20539,Kec. Leuwisadeng,20500,Kab. Bogor,20000,Prov. Jawa Barat,-6.5666,106.5595
P2965336,PKBM MENTARI,SWASTA,PKBM,21730,Kec. Gebang,21700,Kab. Cirebon,20000,Prov. Jawa Barat,-6.8251,108.7251
P9970553,PKBM HOMESCHOOLING HAPPY KIDS,SWASTA,PKBM,116005,Kec. Ilir Timur I,116000,Kota Palembang,110000,Prov. Sumatera Selatan,-2.9712,104.7606
P2965476,PKBM PELANGI ILMU,SWASTA,PKBM,280209,Kec. Bojongmanik,280200,Kab. Lebak,280000,Prov. Banten,-6.5362,106.1538
P2964883,PKBM PORANG JAYA,SWASTA,PKBM,51417,Kec. Rejoso,51400,Kab. Nganjuk,50000,Prov. Jawa Timur,-7.5292,111.9166
P9985089,PKBM HIDAYAT JATI,SWASTA,PKBM,31516,Kec. Godong,31500,Kab. Grobogan,30000,Prov. Jawa Tengah,-7.0527788,110.8208004
P9926486,PKBM AL FAJAR,SWASTA,PKBM,280432,Kec. Tanara,280400,Kab. Serang,280000,Prov. Banten,-6.0318,106.3341
P2962893,PKBM AL-ISTIQLAL,SWASTA,PKBM,20715,Kec. Sukaluyu,20700,Kab. Cianjur,20000,Prov. Jawa Barat,-6.8068,107.2355
P9996381,PKBM MULYA RAHAYU,SWASTA,PKBM,21519,Kec. Pasawahan,21500,Kab. Kuningan,20000,Prov. Jawa Barat,-6.8197297,108.4070043
P2963510,PKBM BINA ILMU,SWASTA,PKBM,191307,Kec. Benteng,191300,Kab. Kepulauan Selayar,190000,Prov. Sulawesi Selatan,-6.0867,120.477
P2965827,PKBM Cemerlang,SWASTA,PKBM,230603,Kec. Woha,230600,Kab. Bima,230000,Prov. Nusa Tenggara Barat,-8.5522,118.6736
P2962522,PKBM TERATE,SWASTA,PKBM,242222,Kec. Wewiku,242200,Kab. Malaka,240000,Prov. Nusa Tenggara Timur,-9.7321,124.8427
P2963105,PKBM DIPONEGORO,SWASTA,PKBM,50601,Kec. Kenduruan,50600,Kab. Tuban,50000,Prov. Jawa Timur,-6.8917,111.6601
P9954314,PKBM AT-TAWAKAL,SWASTA,PKBM,20729,Kec. Cijati,20700,Kab. Cianjur,20000,Prov. Jawa Barat,-7.2787,107.0437
P9996192,PKBM INSAN MADANI,SWASTA,PKBM,70120,Kec. Tanjung Morawa,70100,Kab. Deli Serdang,70000,Prov. Sumatera Utara,3.5468,98.7875
P9926385,PKBM ANGSANA JAYA,SWASTA,PKBM,280420,Kec. Anyar,280400,Kab. Serang,280000,Prov. Banten,-6.099,105.9443
P2965664,PKBM AL-KHAIRAAT,SWASTA,PKBM,280314,Kec. Kresek,280300,Kab. Tangerang,280000,Prov. Banten,-6.1271,106.3693
P9947916,PKBM PEDULI ANAK BANGSA,SWASTA,PKBM,61107,Kec. Teluk Dalam,61100,Kab. Simeulue,60000,Prov. Aceh,2.6207,96.1994
P9934885,PKBM PUPA,SWASTA,PKBM,266007,Kec. Ratu Samban,266000,Kota Bengkulu,260000,Prov. Bengkulu,-3.8011383,102.2597383
P2966989,PKBM Kenanga,SWASTA,PKBM,126010,Kec. Kemiling,126000,Kota Bandar Lampung,120000,Prov. Lampung,-5.3975739,105.1954086
P9996836,PKBM ANNISA,SWASTA,PKBM,21513,Kec. Kuningan,21500,Kab. Kuningan,20000,Prov. Jawa Barat,-7.0139689,108.4851301
P2965768,PKBM RAJA WALI,SWASTA,PKBM,120902,Kec. Punduh Pedada,120900,Kab. Pesawaran,120000,Prov. Lampung,-5.7210034,105.1735852
P9984453,PKBM TINGKAALO,SWASTA,PKBM,200238,Kec. Batukara,200200,Kab. Muna,200000,Prov. Sulawesi Tenggara,-4.8766377,122.9049978
P9952772,PKBM MINASANTA ,SWASTA,PKBM,190308,Kec. Bungaya,190300,Kab. Gowa,190000,Prov. Sulawesi Selatan,-5.3365,119.7281
P9948619,PKBM BUNDA MUTIARA,SWASTA,PKBM,22115,Kec. Rengasdengklok,22100,Kab. Karawang,20000,Prov. Jawa Barat,-6.201418,107.299619
P2962373,PKBM BINA ILMU,SWASTA,PKBM,36301,Kec. Mijen,36300,Kota Semarang,30000,Prov. Jawa Tengah,-7.052,110.3167
P2966313,PKBM CAHAYA BANGSA,SWASTA,PKBM,16103,Kec. Tanjung Priok,16100,Kota Jakarta Utara,10000,Prov. D.K.I. Jakarta,-6.150943,106.86982
P2961732,PKBM KI HADJAR DEWANTARA,SWASTA,PKBM,56102,Kec. Sukun,56100,Kota Malang,50000,Prov. Jawa Timur,-8.0079187,112.6186386
P9970085,PKBM KARYA BANGSA,SWASTA,PKBM,316011,Kec. Bengkong,316000,Kota Batam,310000,Prov. Kepulauan Riau,1.1526366,104.0356457
P9948175,PKBM KADEUDEUH,SWASTA,PKBM,20510,Kec. Ciawi,20500,Kab. Bogor,20000,Prov. Jawa Barat,-6.7044,106.9023
P9934426,PKBM KARYA BHAKTI,SWASTA,PKBM,52708,Kec. Tambelangan,52700,Kab. Sampang,50000,Prov. Jawa Timur,-7.0729505,113.1773636
P9996273,PKBM POLEANG RAYA,SWASTA,PKBM,200703,Kec. Poleang,200700,Kab. Bombana,200000,Prov. Sulawesi Tenggara,-4.6405388,121.6615824
P9997204,PKBM MADANI,SWASTA,PKBM,286207,Kec. Serang,286200,Kota Serang,280000,Prov. Banten,0,0
P9969995,PKBM TANJUNG ULIE,SWASTA,PKBM,270210,Kec. Weda Tengah,270200,Kab. Halmahera Tengah,270000,Prov. Maluku Utara,0.4122264,127.8840771
P9970211,PKBM CAHAYA TIARA,SWASTA,PKBM,280110,Kec. Saketi,280100,Kab. Pandeglang,280000,Prov. Banten,-6.3973681,105.9815508
P9996440,PKBM SIRENJA BANGKIT,SWASTA,PKBM,180212,Kec. Sirenja,180200,Kab. Donggala,180000,Prov. Sulawesi Tengah,-0.2139364,119.8846329
P9984588,PKBM KHOIRO UMMAH,SWASTA,PKBM,26804,Kec. Mangkubumi,26800,Kota Tasikmalaya,20000,Prov. Jawa Barat,-7.335567,108.1628276
P9963165,PKBM LISTRA,SWASTA,PKBM,210701,Kec. Pulau-Pulau Aru,210700,Kab. Kepulauan Aru,210000,Prov. Maluku,-5.7048161,134.4362222
P9908601,PKBM MELATI,SWASTA,PKBM,240602,Kec. Alor Barat Daya,240600,Kab. Alor,240000,Prov. Nusa Tenggara Timur,-8.2330054,124.5776731
P9996183,PKBM AL- HIJRAH ENTERPRENEUR,SWASTA,PKBM,62006,Kec. Bandar Baru,62000,Kab. Pidie Jaya,60000,Prov. Aceh,5.2763138,96.0875951
P9954159,PKBM CAHAYA IMAN,SWASTA,PKBM,61302,Kec. Singkil,61300,Kab. Aceh Singkil,60000,Prov. Aceh,2.320083,97.857528
