npsn,name,status,grade,district_id,district,regency_id,regency,province_id,province,latitude,longitude
20606848,SMAN 2 TANGERANG,NEGERI,SMA,286103,Kec. Tangerang,286100,Kota Tangerang,280000,Prov. Banten,-6.1754,106.6389
69989801,SMA PUTI BUNGSU,SWASTA,SMA,86111,Kec. Koto Tangah,86100,Kota Padang,80000,Prov. Sumatera Barat,-0.8111639,100.3943984
10495437,SMA NEGERI 1 RANGSANG PESISIR,NEGERI,SMA,91509,Kec. Rangsang Pesisir,91500,Kab. Kepulauan Meranti,90000,Prov. Riau,1.0963,102.876
20218378,SMAN 1 CIKARANG SELATAN,NEGERI,SMA,22221,Kec. Cikarang Selatan,22200,Kab. Bekasi,20000,Prov. Jawa Barat,-6.3341,107.1194
10606488,SMAS YIS MARTAPURA,SWASTA,SMA,110801,Kec. Martapura,110800,Kab. Ogan Komering Ulu Timur,110000,Prov. Sumatera Selatan,-4.2996,104.3361
20237371,SMAN 1 CIKAMPEK,NEGERI,SMA,22125,Kec. Kotabaru,22100,Kab. Karawang,20000,Prov. Jawa Barat,-6.4209888,107.4730944
20328922,SMA GITA BAHARI,SWASTA,SMA,36308,Kec. Pedurungan,36300,Kota Semarang,30000,Prov. Jawa Tengah,-7.0202,110.4597
10219061,SMAS PAB 5 KLUMPANG,SWASTA,SMA,70124,Kec. Hamparan Perak,70100,Kab. Deli Serdang,70000,Prov. Sumatera Utara,3.6647,98.5921
69772525,SMA NEGERI 14 MALUKU BARAT DAYA,NEGERI,SMA,210815,Kec. Pulau Lakor,210800,Kab. Maluku Barat Daya,210000,Prov. Maluku,-8.2224,128.1499
20515433,SMAN 1 GONDANG,NEGERI,SMA,51617,Kec. Gondang,51600,Kab. Tulungagung,50000,Prov. Jawa Timur,-8.076,111.8439
69892331,SMA AN-NURONIYAH,SWASTA,SMA,52911,Kec. Bangkalan,52900,Kab. Bangkalan,50000,Prov. Jawa Timur,-7.0317,112.7461
20404172,SMAS MA ARIF YOGYAKARTA,SWASTA,SMA,46012,Kec. Gedongtengen,46000,Kota Yogyakarta,40000,Prov. D.I. Yogyakarta,-7.7945,110.3648
69895839,SMA RARA,SWASTA,SMA,241905,Kec. Wewewa Selatan,241900,Kab. Sumba Barat Daya,240000,Prov. Nusa Tenggara Timur,-9.5899341,119.1536026
30104496,SMAS RENTAWAN JELIMPO,SWASTA,SMA,130912,Kec. Jelimpo,130900,Kab. Landak,130000,Prov. Kalimantan Barat,0.4248,110.1719
